epoch (ms),time (06:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601970689728,2020-10-06T10:51:29.728,6.580,-0.442,-2.134,0.412
1601970689748,2020-10-06T10:51:29.748,6.600,-0.183,-1.082,0.305
1601970689768,2020-10-06T10:51:29.768,6.620,0.396,0.991,0.290
1601970689788,2020-10-06T10:51:29.788,6.640,0.335,1.159,0.198
1601970689808,2020-10-06T10:51:29.808,6.660,0.381,0.686,0.259
1601970689828,2020-10-06T10:51:29.828,6.680,0.107,0.015,0.412
1601970689848,2020-10-06T10:51:29.848,6.700,0.259,0.823,0.274
1601970689868,2020-10-06T10:51:29.868,6.720,0.198,0.183,0.320
1601970689888,2020-10-06T10:51:29.888,6.740,-0.396,-2.454,0.442
1601970689908,2020-10-06T10:51:29.908,6.760,-0.198,-1.463,0.412
1601970689928,2020-10-06T10:51:29.928,6.780,0.335,0.655,0.427
1601970689948,2020-10-06T10:51:29.948,6.800,-0.274,-1.601,0.442
1601970689968,2020-10-06T10:51:29.968,6.820,-0.198,-0.671,0.137
1601970689988,2020-10-06T10:51:29.988,6.840,0.137,-0.991,0.274
1601970690008,2020-10-06T10:51:30.008,6.860,0.091,-0.015,0.244
1601970690028,2020-10-06T10:51:30.028,6.880,0.412,0.869,0.351
1601970690048,2020-10-06T10:51:30.048,6.900,-0.762,-3.476,0.549
1601970690068,2020-10-06T10:51:30.068,6.920,-0.808,-3.582,0.381
1601970690088,2020-10-06T10:51:30.088,6.940,0.595,1.616,0.274
1601970690108,2020-10-06T10:51:30.108,6.960,0.564,1.631,0.183
1601970690128,2020-10-06T10:51:30.128,6.980,-0.503,-2.271,0.320
1601970690148,2020-10-06T10:51:30.148,7.000,-0.183,-0.732,0.335
1601970690168,2020-10-06T10:51:30.168,7.020,0.518,1.326,0.305
1601970690188,2020-10-06T10:51:30.188,7.040,-0.473,-2.759,0.335
1601970690208,2020-10-06T10:51:30.208,7.060,-0.823,-3.948,0.290
1601970690228,2020-10-06T10:51:30.228,7.080,0.549,1.235,0.351
1601970690248,2020-10-06T10:51:30.248,7.100,0.838,2.271,0.305
1601970690268,2020-10-06T10:51:30.268,7.120,-0.488,-2.820,0.274
1601970690288,2020-10-06T10:51:30.288,7.140,-0.366,-1.570,0.305
