epoch (ms),time (06:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601970688952,2020-10-06T10:51:28.952,5.780,0.038,-0.015,1.013
1601970688972,2020-10-06T10:51:28.972,5.800,0.044,-0.016,1.016
1601970688992,2020-10-06T10:51:28.992,5.820,0.048,-0.019,1.016
1601970689012,2020-10-06T10:51:29.012,5.840,0.043,-0.015,1.017
1601970689032,2020-10-06T10:51:29.032,5.860,0.043,-0.015,1.016
1601970689052,2020-10-06T10:51:29.052,5.880,0.050,-0.017,1.021
1601970689072,2020-10-06T10:51:29.072,5.900,0.053,-0.017,1.021
1601970689092,2020-10-06T10:51:29.092,5.920,0.045,-0.016,1.015
1601970689112,2020-10-06T10:51:29.112,5.940,0.041,-0.015,1.017
1601970689132,2020-10-06T10:51:29.132,5.960,0.046,-0.017,1.019
1601970689152,2020-10-06T10:51:29.152,5.980,0.051,-0.019,1.020
1601970689172,2020-10-06T10:51:29.172,6.000,0.048,-0.018,1.020
1601970689192,2020-10-06T10:51:29.192,6.020,0.042,-0.017,1.017
1601970689212,2020-10-06T10:51:29.212,6.040,0.041,-0.016,1.014
1601970689232,2020-10-06T10:51:29.232,6.060,0.048,-0.017,1.020
1601970689252,2020-10-06T10:51:29.252,6.080,0.051,-0.016,1.022
1601970689272,2020-10-06T10:51:29.272,6.100,0.043,-0.017,1.018
1601970689292,2020-10-06T10:51:29.292,6.120,0.042,-0.016,1.011
1601970689312,2020-10-06T10:51:29.312,6.140,0.051,-0.017,1.017
1601970689332,2020-10-06T10:51:29.332,6.160,0.057,-0.020,1.023
1601970689352,2020-10-06T10:51:29.352,6.180,0.047,-0.019,1.018
1601970689372,2020-10-06T10:51:29.372,6.200,0.042,-0.015,1.016
1601970689392,2020-10-06T10:51:29.392,6.220,0.045,-0.014,1.016
1601970689412,2020-10-06T10:51:29.412,6.240,0.046,-0.015,1.016
1601970689432,2020-10-06T10:51:29.432,6.260,0.047,-0.017,1.017
1601970689452,2020-10-06T10:51:29.452,6.280,0.049,-0.018,1.019
1601970689472,2020-10-06T10:51:29.472,6.300,0.049,-0.019,1.021
1601970689492,2020-10-06T10:51:29.492,6.320,0.042,-0.017,1.016
1601970689512,2020-10-06T10:51:29.512,6.340,0.041,-0.017,1.014
1601970689532,2020-10-06T10:51:29.532,6.360,0.050,-0.018,1.020
1601970689552,2020-10-06T10:51:29.552,6.380,0.047,-0.018,1.025
1601970689572,2020-10-06T10:51:29.572,6.400,0.037,-0.016,1.021
1601970689592,2020-10-06T10:51:29.592,6.420,0.040,-0.017,1.015
1601970689612,2020-10-06T10:51:29.612,6.440,0.048,-0.020,1.020
1601970689632,2020-10-06T10:51:29.632,6.460,0.046,-0.018,1.020
